Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2019","2019","1000 ha","63518","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2020","2020","1000 ha","63518","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1961","1961","1000 ha","125515","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1962","1962","1000 ha","128695","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1963","1963","1000 ha","131875","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1964","1964","1000 ha","135055","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1965","1965","1000 ha","138235","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1966","1966","1000 ha","141415","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1967","1967","1000 ha","144595","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1968","1968","1000 ha","147775","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1969","1969","1000 ha","150955","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1970","1970","1000 ha","154138","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1971","1971","1000 ha","156441","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1972","1972","1000 ha","158744","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1973","1973","1000 ha","161047","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1974","1974","1000 ha","163350","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1975","1975","1000 ha","165652","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1976","1976","1000 ha","167411","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1977","1977","1000 ha","169170","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1978","1978","1000 ha","170929","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1979","1979","1000 ha","172688","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1980","1980","1000 ha","174499","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1981","1981","1000 ha","175436.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1982","1982","1000 ha","176374.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1983","1983","1000 ha","177312.4","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1984","1984","1000 ha","178250.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1985","1985","1000 ha","179188","A","Official figure"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1986","1986","1000 ha","179039.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1987","1987","1000 ha","178890.4","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1988","1988","1000 ha","178741.6","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1989","1989","1000 ha","178592.8","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1990","1990","1000 ha","178444","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1991","1991","1000 ha","178295.2","I","Imputed value"
"RL","Land Use","076","Brazil","5110","Area","6655","Land under perm. meadows and pastures","1992","1992","1000 ha","178146.4","I","Imputed value"
